User id,Number of tweets before,Number of tweets after
180904017,1,1
43947023,1,1
252433607,2,4
214086597,3,1
1289830296,2,1
19151000,1,3
1127756970,6,3
5770442,1,4
2599046356,1,1
558185944,6,6
587764274,4,1
86646950,1,1
170119971,1,1
487007510,1,1
372034561,1,10
174992626,1,2
461344573,1,2
1028860736,1,3
458447634,2,61
2430303710,1,2
2594324036,1,1
70298833,1,2
23684403,1,1
36504770,1,2
611389277,1,1
2305981062,1,1
2369496799,1,1
2569081393,1,1
1588889924,1,1
616375946,1,4
2355561614,3,2
360642182,1,1
387088533,1,3
919935392,1,1
553811486,2,6
462542326,1,1
25983816,2,18
604827275,1,1
371072192,1,2
2229131955,1,1
308369826,1,1
394381817,1,1
964949366,2,3
54042025,1,2
2341568898,5,1
255210978,2,1
407666947,1,9
619566654,15,2
1618149361,3,1
1858106748,2,14
525505196,6,4
19334875,1,1
199106721,1,1
439553718,1,2
237620107,1,2
90801512,7,1
325388136,1,3
419541400,5,5
18855875,6,12
1380359400,5,2
55348286,2,5
143409231,2,1
271239536,2,8
91334232,6,15
505452633,1,1
1051650072,3,5
219020400,1,1
395078496,1,3
72906858,3,3
33327649,2,2
205206309,10,10
893249544,1,5
103146613,1,1
18912416,1,1
1647692748,1,1
436229017,3,1
228168606,1,1
22855261,6,17
813820754,10,11
59058006,6,18
149316106,1,1
2462866076,3,4
1854041576,5,8
1246833403,5,6
1164175945,1,1
101002059,1,7
78491610,1,1
2241145836,1,1
576923946,1,1
1632244058,1,1
958761684,1,1
936912511,11,21
23094268,2,5
1722941630,5,3
505974820,1,1
2268658047,5,2
70484024,2,4
86102894,3,11
205594100,1,1
2236600729,4,2
2578513198,2,1
735235274,1,1
235078361,1,1
2204175260,1,1
16631904,2,2
336665364,4,5
397692076,1,1
511939693,1,6
874493282,1,1
180871891,2,1
605526727,6,22
15391258,1,2
225342275,9,9
1598630185,1,1
855801384,1,1
2366370140,1,1
379759273,12,11
1349355169,2,1
164134849,1,3
504025702,2,1
30981617,1,2
186233121,1,1
121933159,2,1
470396623,28,41
1285958504,16,14
69821540,2,1
294842000,1,1
353304645,1,1
38438612,2,1
2547187705,1,1
2345911615,1,1
22055529,1,1
82453704,1,1
2359846885,2,1
376123838,2,2
1346552654,1,5
411621494,5,5
523384471,1,5
2517244172,1,26
29171054,1,3
866864634,1,1
266026540,1,2
169922249,1,2
1348158079,3,3
315178860,2,4
86942203,1,1
14990112,1,1
520309085,1,1
16908796,2,1
281021082,1,1
404220803,1,1
2358706723,1,1
1394917244,1,1
1437020118,1,1
181212525,1,3
14616251,1,1
1360679653,1,1
349633754,2,1
330566578,1,1
538045202,1,1
2290393056,2,1
52764424,1,5
93113817,1,2
18400972,1,1
415596088,2,2
41104222,1,3
518730830,6,9
54803868,1,1
482279611,1,1
435363121,1,2
2263795908,1,1
370622230,1,1
69797141,1,1
599465480,1,1
25216514,1,1
825716222,1,1
33713871,1,1
15670825,1,1
598355535,1,1
866341746,1,1
338452942,2,1
843179910,1,1
305831835,1,3
1582105561,4,14
82478572,2,1
1428231643,1,2
31128872,1,1
2546128579,1,1
351298793,1,1
792302694,9,30
